DateID,FinanceAccountID,ProductID,SupplierID,DepartmentID,Amount
20231007,1,,,,8909.96
20231007,2,,,7.0,27648.95
20231007,3,1.0,,2.0,558496.95
20231007,3,2.0,,6.0,54158.05
20231007,3,3.0,,1.0,59829.12
20231007,3,4.0,,10.0,536472.12
20231007,3,5.0,,9.0,463829.73
20231007,3,6.0,,6.0,111875.38
20231007,3,7.0,,8.0,885363.56
20231007,3,8.0,,3.0,324542.61
20231007,3,9.0,,1.0,123968.88
20231007,3,10.0,,5.0,740740.14
20231007,3,11.0,,9.0,373246.02
20231007,3,12.0,,2.0,1120855.73
20231007,3,13.0,,10.0,416446.48
20231007,3,14.0,,1.0,780246.0
20231007,3,15.0,,9.0,621090.68
20231007,3,16.0,,5.0,551099.41
20231007,3,17.0,,3.0,52959.6
20231007,3,18.0,,5.0,844910.46
20231007,3,19.0,,1.0,661770.72
20231007,3,20.0,,3.0,457348.85
20231007,4,,,,26589.88
20231007,5,,,4.0,28558.55
20231007,6,,,,2634.37
20231007,7,,,,26067.96
20231007,8,1.0,,6.0,647477.82
20231007,8,2.0,,2.0,54951.99
20231007,8,3.0,,10.0,66085.29
20231007,8,4.0,,10.0,620947.28
20231007,8,5.0,,6.0,404507.67
20231007,8,6.0,,7.0,106970.22
20231007,8,7.0,,9.0,898039.47
20231007,8,8.0,,8.0,317764.36
20231007,8,9.0,,7.0,112266.0
20231007,8,10.0,,4.0,634282.65
20231007,8,11.0,,10.0,374899.38
20231007,8,12.0,,2.0,1031305.36
20231007,8,13.0,,8.0,418420.16
20231007,8,14.0,,2.0,987444.66
20231007,8,15.0,,9.0,804911.24
20231007,8,16.0,,2.0,416311.87
20231007,8,17.0,,5.0,67733.2
20231007,8,18.0,,10.0,853416.27
20231007,8,19.0,,6.0,669962.4
20231007,8,20.0,,7.0,424056.85
20231007,9,,11.0,,17728.49
20231007,10,1.0,,10.0,661992.43
20231007,10,2.0,,9.0,67825.16
20231007,10,3.0,,3.0,75217.86
20231007,10,4.0,,1.0,571578.68
20231007,10,5.0,,5.0,408376.5
20231007,10,6.0,,2.0,92349.07
20231007,10,7.0,,1.0,839535.27
20231007,10,8.0,,6.0,221242.08
20231007,10,9.0,,2.0,115804.08
20231007,10,10.0,,2.0,550136.61
20231007,10,11.0,,3.0,359605.8
20231007,10,12.0,,3.0,893535.56
20231007,10,13.0,,2.0,455920.08
20231007,10,14.0,,1.0,810588.9
20231007,10,15.0,,2.0,628053.58
20231007,10,16.0,,1.0,469366.54
20231007,10,17.0,,2.0,57216.4
20231007,10,18.0,,7.0,1063226.25
20231007,10,19.0,,6.0,635440.32
20231007,10,20.0,,3.0,498963.85
20231008,1,,,,15475.81
20231008,2,,,4.0,17415.45
20231008,3,1.0,,10.0,663885.64
20231008,3,2.0,,4.0,64649.4
20231008,3,3.0,,10.0,58678.56
