DateID,ProductID,StockLevel,DaysOfInventoryOnHand,InventoryCarryingCost,StockOutOccurrence,OverstockOccurrence
20231007,1,112,16,185.26,0,0
20231007,2,304,39,259.97,0,0
20231007,3,155,40,293.45,0,0
20231007,4,270,44,292.84,0,0
20231007,5,66,20,82.83,0,0
20231007,6,169,54,204.75,0,0
20231007,7,155,47,149.45,0,1
20231007,8,102,18,180.75,0,0
20231007,9,282,52,155.26,0,0
20231007,10,302,30,355.46,0,0
20231007,11,279,55,445.52,0,0
20231007,12,436,12,529.75,1,0
20231007,13,178,17,158.5,0,0
20231007,14,356,20,265.83,0,0
20231007,15,238,45,393.79,0,0
20231007,16,151,20,228.59,0,0
20231007,17,358,11,243.27,0,0
20231007,18,443,20,723.41,0,0
20231007,19,157,12,153.4,0,1
20231007,20,368,44,268.19,0,0
20231008,1,343,49,612.93,0,0
20231008,2,429,55,488.79,0,0
20231008,3,68,19,122.56,0,0
20231008,4,303,33,245.7,0,0
20231008,5,310,41,300.37,0,0
20231008,6,411,27,481.44,0,0
20231008,7,98,27,104.66,0,0
20231008,8,209,47,122.44,1,0
20231008,9,77,36,79.3,0,0
20231008,10,52,48,43.29,0,0
20231008,11,464,36,339.45,0,0
20231008,12,410,50,756.65,0,0
20231008,13,405,14,263.14,0,0
20231008,14,167,44,137.43,1,0
20231008,15,225,23,134.66,0,0
20231008,16,168,20,106.99,0,0
20231008,17,359,22,669.95,0,1
20231008,18,374,22,664.4,0,0
20231008,19,239,26,278.53,0,0
20231008,20,249,11,429.57,0,0
20231009,1,202,34,319.17,0,0
20231009,2,174,34,324.01,0,0
20231009,3,192,23,360.46,0,0
20231009,4,130,57,132.56,0,0
20231009,5,210,51,229.73,0,0
20231009,6,311,43,348.65,0,0
20231009,7,454,16,292.3,0,0
20231009,8,309,40,262.45,0,0
20231009,9,108,39,162.88,0,0
20231009,10,109,54,120.92,0,0
20231009,11,253,41,250.16,0,0
20231009,12,220,14,383.65,0,0
20231009,13,348,17,379.75,0,0
20231009,14,370,59,647.96,0,0
20231009,15,180,37,105.6,0,0
20231009,16,438,42,623.64,0,0
20231009,17,209,32,198.06,0,0
20231009,18,178,34,95.16,0,0
20231009,19,294,38,298.72,0,0
20231009,20,412,51,413.79,0,0
20231010,1,432,44,737.09,0,0
20231010,2,107,48,199.6,0,0
20231010,3,371,58,619.8,0,0
20231010,4,176,28,252.48,0,0
20231010,5,337,46,514.38,0,0
20231010,6,89,49,50.51,0,0
20231010,7,92,54,112.53,0,0
20231010,8,296,54,171.51,0,0
20231010,9,207,41,142.93,0,0
20231010,10,99,38,89.8,0,0
20231010,11,213,13,279.21,0,0
20231010,12,261,55,233.2,0,0
20231010,13,129,10,99.28,0,0
20231010,14,127,45,143.28,0,0
20231010,15,360,43,217.8,0,0
20231010,16,243,48,163.77,0,0
20231010,17,65,46,116.29,0,0
20231010,18,361,20,625.13,0,0
20231010,19,252,43,349.19,0,0
20231010,20,113,15,166.53,0,0
20231011,1,486,41,722.77,0,0
20231011,2,445,19,359.14,0,0
20231011,3,376,52,255.74,0,0
20231011,4,322,23,250.39,0,0
20231011,5,312,59,295.24,0,0
20231011,6,450,54,354.08,1,0
20231011,7,209,56,187.34,0,0
20231011,8,444,45,286.29,0,0
20231011,9,260,47,196.61,0,0
20231011,10,374,27,668.16,0,0
20231011,11,216,38,242.13,0,0
20231011,12,351,34,459.63,0,0
20231011,13,467,15,500.64,0,0
20231011,14,316,22,509.07,0,0
20231011,15,237,29,403.77,0,0
20231011,16,445,37,554.7,0,1
20231011,17,334,25,292.62,0,0
20231011,18,498,32,607.28,0,0
20231011,19,308,26,379.03,1,0
20231011,20,224,18,388.2,0,0
20231012,1,397,23,297.88,0,0
20231012,2,405,45,526.98,0,1
20231012,3,292,15,178.12,0,0
20231012,4,457,15,323.57,0,1
20231012,5,334,43,631.87,0,0
20231012,6,110,33,152.36,0,0
